TeamId,TeamName,SubmissionDate,Score
2730761,"Takamichi Toda","2019-02-07 06:11:54",2.78374
2730922,jazivxt,"2019-02-07 07:02:42",2.61183
2730922,jazivxt,"2019-02-07 07:06:58",2.22047
2730229,dgk1,"2019-02-07 07:26:08",2.09965
2730922,jazivxt,"2019-02-07 07:34:49",2.10058
2730922,jazivxt,"2019-02-07 07:41:04",2.06852
2731204,"Pratik Gupta","2019-02-07 07:55:29",2.84431
2730761,"Takamichi Toda","2019-02-07 08:00:58",2.68433
2730958,"Kamal Chhirang","2019-02-07 09:33:48",2.06806
2731596,HiJune,"2019-02-07 10:09:31",2.08488
2731126,gravix,"2019-02-07 10:41:01",12.78276
2731126,gravix,"2019-02-07 10:42:08",2.69374
2730229,dgk1,"2019-02-07 10:42:33",2.05095
2731126,gravix,"2019-02-07 10:50:54",2.58112
2730592,"Arunkumar V Ramanan","2019-02-07 10:59:44",2.06852
2731800,"jordon dyer","2019-02-07 11:54:39",2.10081
2731204,"Pratik Gupta","2019-02-07 12:19:43",2.84405
2731204,"Pratik Gupta","2019-02-07 12:20:30",2.80266
2731204,"Pratik Gupta","2019-02-07 12:22:46",2.76595
2730229,dgk1,"2019-02-07 13:32:52",2.03348
2731126,gravix,"2019-02-07 14:28:22",2.33407
2731126,gravix,"2019-02-07 14:30:01",2.16542
2730892,"Rupa Lahiri","2019-02-07 14:49:31",3.45568
2731714,MarcoCarnini,"2019-02-07 14:56:39",2.60237
2731126,gravix,"2019-02-07 15:14:07",2.15842
2731800,"jordon dyer","2019-02-07 15:25:36",2.04451
2731087,DDB89,"2019-02-07 16:05:29",6.14074
2732640,"林湧森 (Dyson Lin)","2019-02-07 16:09:50",2.03348
2730592,"Arunkumar V Ramanan","2019-02-07 16:39:48",2.03348
2731800,"jordon dyer","2019-02-07 16:53:26",2.03100
2731126,gravix,"2019-02-07 17:14:23",2.13310
2731108,"Mathurin Aché","2019-02-07 17:26:06",2.03348
2731108,"Mathurin Aché","2019-02-07 17:33:03",2.01933
2731108,"Mathurin Aché","2019-02-07 17:34:37",2.01770
2733307,mattemyo,"2019-02-07 18:44:17",3.73362
2733307,mattemyo,"2019-02-07 18:46:19",3.19248
2733507,"Netflix is all you need","2019-02-07 18:59:57",2.65841
2733507,"Netflix is all you need","2019-02-07 19:01:18",2.64154
2733699,"Chirag Subramanian","2019-02-07 19:10:14",6.16543
2732258,Holar,"2019-02-07 19:10:43",13.46977
2733699,"Chirag Subramanian","2019-02-07 19:14:17",3.10140
2732258,Holar,"2019-02-07 19:20:03",2.24659
2733699,"Chirag Subramanian","2019-02-07 19:23:28",3.02175
2732258,Holar,"2019-02-07 19:28:55",2.15070
2734126,"Aleksandr Kosolapov","2019-02-07 20:17:26",2.04880
2734130,"SALIL MISHRA","2019-02-07 20:44:01",2.04868
2732258,Holar,"2019-02-07 21:26:56",2.10613
2734630,PaulT27,"2019-02-07 22:47:05",2.02618
2734630,PaulT27,"2019-02-07 22:49:45",2.02003
2734630,PaulT27,"2019-02-07 22:53:17",2.01933
2734630,PaulT27,"2019-02-07 22:54:34",2.01824
2734630,PaulT27,"2019-02-07 22:56:02",2.01770
2734630,PaulT27,"2019-02-07 22:57:19",2.01764
2734630,PaulT27,"2019-02-07 22:59:55",2.01762
2734498,Aman.cyberia,"2019-02-07 23:02:11",2.03348
2734229,CezarLemos,"2019-02-07 23:20:16",3.31235
2734126,"Aleksandr Kosolapov","2019-02-07 23:29:50",2.03168
2734394,"Alec Kulakowski","2019-02-08 01:23:19",2.59649
2734963,thomas,"2019-02-08 04:37:47",2.52766
2735117,JinHao,"2019-02-08 04:41:08",2.12228
2734963,thomas,"2019-02-08 04:43:58",2.14086
2732258,Holar,"2019-02-08 05:14:14",2.07935
2731126,gravix,"2019-02-08 06:11:57",2.12178
2732258,Holar,"2019-02-08 06:30:40",2.07905
2730892,"Rupa Lahiri","2019-02-08 06:34:28",2.95101
2732258,Holar,"2019-02-08 06:58:08",2.07573
2730892,"Rupa Lahiri","2019-02-08 07:53:07",2.91030
2735117,JinHao,"2019-02-08 08:16:21",2.07592
2735117,JinHao,"2019-02-08 08:41:11",2.07236
2731800,"jordon dyer","2019-02-08 09:31:02",2.03093
2731126,gravix,"2019-02-08 09:36:13",2.10908
2735117,JinHao,"2019-02-08 09:44:34",2.07008
2731714,MarcoCarnini,"2019-02-08 09:50:40",2.58254
2735117,JinHao,"2019-02-08 09:52:39",2.04352
2731800,"jordon dyer","2019-02-08 12:21:26",2.02528
2731800,"jordon dyer","2019-02-08 12:41:17",2.02505
2733992,"Johan Wallgren","2019-02-08 13:29:40",2.84265
2733992,"Johan Wallgren","2019-02-08 13:39:17",2.39367
2733992,"Johan Wallgren","2019-02-08 13:54:27",2.35907
2733992,"Johan Wallgren","2019-02-08 14:00:58",2.32109
2730892,"Rupa Lahiri","2019-02-08 14:08:03",2.89003
2736620,"Bastien Dechamps","2019-02-08 14:08:06",2.23799
2731126,gravix,"2019-02-08 14:32:29",2.09837
2734588,Blake_Gonth,"2019-02-08 15:41:02",3.51322
2734588,Blake_Gonth,"2019-02-08 16:00:04",2.99055
2734588,Blake_Gonth,"2019-02-08 16:03:21",2.67298
2736620,"Bastien Dechamps","2019-02-08 16:11:07",2.18695
2736620,"Bastien Dechamps","2019-02-08 16:26:21",2.18503
2737646,"B H","2019-02-08 16:42:42",2.03346
2733992,"Johan Wallgren","2019-02-08 18:39:16",2.30282
2738498,"Mohamed Abbas","2019-02-08 19:55:42",3.79138
2734630,PaulT27,"2019-02-08 19:56:22",2.01761
2734630,PaulT27,"2019-02-08 20:00:03",2.01753
2734630,PaulT27,"2019-02-08 20:01:48",2.01753
2734229,CezarLemos,"2019-02-08 20:12:11",2.08225
2732258,Holar,"2019-02-08 20:18:33",2.07000
2734588,Blake_Gonth,"2019-02-08 20:22:24",2.63574
2734588,Blake_Gonth,"2019-02-08 21:20:06",2.58186
2739088,hisudha,"2019-02-08 21:49:57",2.03348
2730229,dgk1,"2019-02-08 22:08:25",2.02074
2738450,"Stephen Howard","2019-02-08 22:12:53",6.02018
2738450,"Stephen Howard","2019-02-08 22:21:20",3.12144
2739118,MaxL,"2019-02-08 22:59:33",3.54487
2739546,vwall,"2019-02-09 00:07:45",3.58134
2739546,vwall,"2019-02-09 00:53:56",2.83226
2739546,vwall,"2019-02-09 01:33:57",2.68530
2735044,"Matt Gerdes","2019-02-09 01:42:23",2.12641
2739738,HarryButter,"2019-02-09 02:13:19",6.21578
2740002,Zee,"2019-02-09 02:17:03",2.02074
2739973,"Jack Chang","2019-02-09 02:34:16",3.79138
2740174,"Akash Agarwal","2019-02-09 03:06:36",2.07000
2739949,KimposiPungmudong,"2019-02-09 05:00:39",2.02621
2739738,HarryButter,"2019-02-09 06:49:23",6.16543
2740048,"Tetyana Yatsenko","2019-02-09 06:59:40",2.02074
2739738,HarryButter,"2019-02-09 07:09:53",2.67065
2740265,anshu,"2019-02-09 07:11:44",2.12969
2739738,HarryButter,"2019-02-09 07:34:53",2.58814
2731204,"Pratik Gupta","2019-02-09 07:53:47",2.16138
2740521,"Anushree Jain","2019-02-09 08:05:33",2.06852
2735798,NerdWithNerf,"2019-02-09 08:08:14",2.97016
2731204,"Pratik Gupta","2019-02-09 08:12:57",2.13567
2731204,"Pratik Gupta","2019-02-09 08:13:49",2.11977
2739738,HarryButter,"2019-02-09 08:17:01",2.34963
2731204,"Pratik Gupta","2019-02-09 08:22:50",2.11416
2740521,"Anushree Jain","2019-02-09 08:24:12",2.06363
2740743,"Tanay Gahlot","2019-02-09 08:59:29",2.50189
2731126,gravix,"2019-02-09 09:17:51",2.09015
2739738,HarryButter,"2019-02-09 09:19:58",2.31795
2739738,HarryButter,"2019-02-09 09:27:44",2.29641
2733992,"Johan Wallgren","2019-02-09 09:29:05",2.22017
2740657,"Ashutosh Sanzgiri","2019-02-09 09:30:50",2.05595
2737868,EnricRovira,"2019-02-09 09:32:24",2.23451
2741325,"Shokan Ratbek","2019-02-09 09:35:43",2.06562
2733992,"Johan Wallgren","2019-02-09 10:02:40",2.19685
2737156,"Shakur A","2019-02-09 10:07:08",3.47421
2737156,"Shakur A","2019-02-09 10:25:47",3.08344
2739295,arj7192,"2019-02-09 11:10:12",2.13685
2741213,"Hampus Adamsson","2019-02-09 11:25:03",2.82029
2730892,"Rupa Lahiri","2019-02-09 11:40:14",2.86231
2739949,KimposiPungmudong,"2019-02-09 12:04:37",2.02126
2740210,"Paden Goldsmith","2019-02-09 12:35:10",2.63051
2737868,EnricRovira,"2019-02-09 12:35:43",2.14401
2737868,EnricRovira,"2019-02-09 12:46:53",2.13782
2735798,NerdWithNerf,"2019-02-09 12:58:41",2.73814
2735798,NerdWithNerf,"2019-02-09 13:03:38",2.58868
2735798,NerdWithNerf,"2019-02-09 13:07:00",2.58018
2740265,anshu,"2019-02-09 13:10:15",2.06852
2730958,"Kamal Chhirang","2019-02-09 13:12:08",2.01849
2730958,"Kamal Chhirang","2019-02-09 13:28:30",2.00285
2740737,RahulSharma,"2019-02-09 13:41:20",3.00802
2739295,arj7192,"2019-02-09 14:26:34",2.03173
2739118,MaxL,"2019-02-09 14:33:54",2.58501
2740737,RahulSharma,"2019-02-09 14:38:51",2.99499
2730958,"Kamal Chhirang","2019-02-09 15:08:59",1.99751
2739738,HarryButter,"2019-02-09 15:25:04",2.28123
2739295,arj7192,"2019-02-09 15:45:09",2.01777
2739738,HarryButter,"2019-02-09 15:51:19",2.16927
2737353,Nonverbal,"2019-02-09 15:52:12",2.60349
2737353,Nonverbal,"2019-02-09 16:08:06",2.56180
2739812,E.Nik,"2019-02-09 16:13:53",15.59007
2739118,MaxL,"2019-02-09 16:16:01",2.55604
2737353,Nonverbal,"2019-02-09 16:28:35",2.48356
2737353,Nonverbal,"2019-02-09 16:36:37",2.46168
2740312,"Nithin nindi","2019-02-09 16:39:40",2.92362
2742616,"Jim Donahue","2019-02-09 16:46:52",2.57685
2739812,E.Nik,"2019-02-09 16:48:41",2.07000
2739812,E.Nik,"2019-02-09 16:50:52",2.07000
2733307,mattemyo,"2019-02-09 17:26:38",2.12750
2742970,"Andrey Nikishaev","2019-02-09 18:07:21",1.99353
2742851,"Vincent Kr","2019-02-09 18:12:44",1.99751
2742970,"Andrey Nikishaev","2019-02-09 18:14:27",1.99332
2732258,Holar,"2019-02-09 18:45:53",2.04557
2740312,"Nithin nindi","2019-02-09 19:00:59",1.99929
2742123,"Amardeep Singh","2019-02-09 19:03:35",3.75131
2732258,Holar,"2019-02-09 19:07:18",2.03255
2730592,"Arunkumar V Ramanan","2019-02-09 19:11:30",1.99751
2742437,"Max Halford","2019-02-09 19:20:18",2.09017
2739339,"Julian Klas","2019-02-09 20:15:34",3.23186
2741079,quamer23,"2019-02-09 20:53:23",3.24154
2742520,wyegelwe,"2019-02-09 21:07:08",12.79696
2742520,wyegelwe,"2019-02-09 21:07:55",2.71707
2741079,quamer23,"2019-02-09 21:11:12",2.59281
2742520,wyegelwe,"2019-02-09 21:17:37",2.71683
2742620,"Aaron Bukowski","2019-02-09 21:19:03",2.56496
2738450,"Stephen Howard","2019-02-09 22:00:48",2.69674
2739949,KimposiPungmudong,"2019-02-09 22:01:48",1.98463
2742279,"Joe Young","2019-02-09 23:46:02",5.74598
2742279,"Joe Young","2019-02-10 00:06:25",2.55394
2739812,E.Nik,"2019-02-10 00:24:17",2.06977
